GROUP	CODE	NAME	YEAR	ANTIGEN	ANTIGEN_DESCRIPTION	COVERAGE_CATEGORY	COVERAGE_CATEGORY_DESCRIPTION	TARGET_NUMBER(	DOSES	COVERAGE					TARGET --> The number of people in the target population (e.g. girls or boys eligible for HPV vaccination that year).
WHO_REGIONS	AFR	African Region	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14608772	87518	1					
WHO_REGIONS	AFR	African Region	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	14321961	6270981	44					DOSES --> Number of people who actually received the last dose of the HPV vaccine.
WHO_REGIONS	EMR	Eastern Mediterranean Region	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	8112983	50468	1					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	8496160	0	0					COVERAGE --> DOSES ÷ TARGET × 100
WHO_REGIONS	EUR	European Region	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5575089	2096277	38					
WHO_REGIONS	EUR	European Region	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5859996	1477736	25					
WHO_REGIONS	AMR	Region of the Americas	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7838963	3252571	41					
WHO_REGIONS	AMR	Region of the Americas	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7498020	4820617	64					
WHO_REGIONS	SEAR	South-East Asia Region	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15188764	2007238	13					
WHO_REGIONS	SEAR	South-East Asia Region	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16589916	5556	0					
WHO_REGIONS	WPR	Western Pacific Region	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13910497	2718144	20					
WHO_REGIONS	WPR	Western Pacific Region	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	15566882	145162	1					
WHO_REGIONS	AFR	African Region	2023	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13965906	4526788	32					
WHO_REGIONS	AFR	African Region	2023	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	14237030	102562	1					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2023	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	8293679	0	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2023	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7913475	149611	2					
WHO_REGIONS	EUR	European Region	2023	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5749707	1280394	22					
WHO_REGIONS	EUR	European Region	2023	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5468209	1969934	36					
WHO_REGIONS	AMR	Region of the Americas	2023	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7538877	4365059	58					
WHO_REGIONS	AMR	Region of the Americas	2023	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7881230	2487014	32					
WHO_REGIONS	SEAR	South-East Asia Region	2023	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	15215246	748270	5					
WHO_REGIONS	SEAR	South-East Asia Region	2023	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16571940	5258	0					
WHO_REGIONS	WPR	Western Pacific Region	2023	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	15310945	130694	1					
WHO_REGIONS	WPR	Western Pacific Region	2023	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13680129	1534626	11					
WHO_REGIONS	AFR	African Region	2022	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	13858649	0	0					
WHO_REGIONS	AFR	African Region	2022	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	13601347	2012903	15					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2022	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7695830	13375	0					
WHO_REGIONS	EMR	Eastern Mediterranean Region	2022	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	8063395	0	0					
WHO_REGIONS	EUR	European Region	2022	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	5577271	980916	18					
WHO_REGIONS	EUR	European Region	2022	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	5302811	1799077	34					
WHO_REGIONS	AMR	Region of the Americas	2022	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	7545312	4090512	54					
WHO_REGIONS	AMR	Region of the Americas	2022	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	7891014	2314413	29					
WHO_REGIONS	SEAR	South-East Asia Region	2022	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	16642463	4402	0					
