COUNTRYNAME,ISO_3_CODE,WHO_REGION,WB_INCOME,HPV_NATIONAL_SCHEDULE,HPV_YEAR_INTRODUCTION,HPV_PRIM_DELIV_STRATEGY,HPV_AGEADMINISTERED,HPV_SEX,HPV_INT_DOSES,HPV1_COVERAGELASTYEAR,HPVC_COVERAGELASTYEAR,Gavi Status
Afghanistan,AFG,EMR,Low income,No,,,,,Not yet introduced,,,Gavi
Albania,ALB,EUR,Upper middle income,Yes,2022,Facility-based,13,Female,1 dose,0.43,0.43,Non-Gavi
Algeria,DZA,AFR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
Andorra,AND,EUR,High income,Yes,2014,School-based,12,Both sexes,2 doses (6 months),0.92,0.82,Non-Gavi
Angola,AGO,AFR,Lower middle income,Yes,2025,mixed,9-12,Female,1 dose,,,Non-Gavi
Antigua and Barbuda,ATG,AMR,High income,Yes,2018,Facility-based,9-13,Both sexes,2 doses (6 months),0.02,0.01,Non-Gavi
Argentina,ARG,AMR,Upper middle income,Yes,2011,Varies by region/province,11,Both sexes,1 dose,0.55,0.55,Non-Gavi
Armenia,ARM,EUR,Upper middle income,Yes,2017,Facility-based,14,Female,1 dose,0.38,0.31,Non-Gavi
Australia,AUS,WPR,High income,Yes,2007,School-based,12-13,Both sexes,1 dose,0.73,0.73,Non-Gavi
Austria,AUT,EUR,High income,Yes,2014,School-based,9,Both sexes,2 doses (6 months),0.53,0.31,Non-Gavi
Azerbaijan,AZE,EUR,Upper middle income,No,,,,,Not yet introduced,,,Non-Gavi
Bahamas,BHS,AMR,High income,Yes,2015,School-based,9-10,Both sexes,,0.25,0.03,Non-Gavi
Bahrain,BHR,EMR,High income,Yes,2023,,12-13,Both sexes,2 doses (6 months),0.74,0.0,Non-Gavi
Bangladesh,BGD,SEAR,Lower middle income,Yes,2023,,10-14,Female,1 dose,0.9,0.9,Gavi
Barbados,BRB,AMR,High income,Yes,2014,School-based,10-11,Both sexes,1 dose,0.43,0.43,Non-Gavi
Belarus,BLR,EUR,Upper middle income,Yes,2025,School-based,11-14,Female,2 doses (6 months),,,Non-Gavi
Belgium,BEL,EUR,High income,Yes,2007,School-based,12-14,Both sexes,2 doses (6 months),0.8,0.72,Non-Gavi
Belize,BLZ,AMR,Upper middle income,Yes,2016,School-based,9-14,Both sexes,1 dose,0.62,0.62,Non-Gavi
Benin,BEN,AFR,Lower middle income,No,,,,,Not yet introduced,,,Gavi
Bhutan,BTN,SEAR,Lower middle income,Yes,2009,School-based,12,Both sexes,1 dose,0.94,0.92,Non-Gavi
Bolivia (Plurinational State of),BOL,AMR,Lower middle income,Yes,2017,School-based,10,Both sexes,1 dose,0.78,0.78,Non-Gavi
