,Accession,Protein,Organism_Name,Species,Genotype,Isolate,Length,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
1,YBL60022.1,L1,Human papillomavirus 16,Alphapapillomavirus 9,16,141.16,505,Brazil,Homo sapiens,cervix,"de Aquino Firmino,A., Filho,P.R.T.G., Siqueira,J.D., Gois,L.L., Costa,G.C.S., Martins,A.L.L., Drumond,M.L., Soares,M.A., Galvao-Castro,B., da Silva,C.G.R., Grassi,M.F.R., Firmino,A.A.",2015,2025-10-26,dsDNA
2,YBL22119.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 2Oax/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
3,YBL22127.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 3Oax/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
4,YBL22135.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 3Yuc/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
5,YBL22143.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 6Yuc/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
6,YBL22151.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 8Yuc/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
7,YBL22159.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 19Mex/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
8,YBL22167.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 30Tam/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
9,YBL22175.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 34Mor/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
10,YBL22183.1,major capsid protein L1,Human papillomavirus 16,Alphapapillomavirus 9,,InDRE 35Tam/Mexico/2022,531,Mexico,Homo sapiens,cervix,"Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.",2022,2025-10-22,dsDNA
